Name,Inventory Icon,Caption,Caption 2,Caption 3,Object Map Link,Element,Fusable,Destroyed on Hit (Fused),Fuse Attack Power (Sword),Fuse Attack Power (Large Sword),Fuse Attack Power (Spear),Fuse Attack Power (Arrow),Fuse Attack Power (Shield),Additional Element Attack Power (Burst),Additional Element Attack Power (Melee Projecile),Additional Element Attack Power (Melee Projecile from Rod),Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Replace Sharpness,Fuse Can Cut,Fuse Shatters Rock,Fuse Adds Shield Bash Attack,Fuse Disables Torch,Mineru Fuse Durability,Hearts Recovered,Cooking Effect,Cooking Effect Level,Cooking Effect Time Boost Duration,Cooking Critical Rate,Sell Price,Buy Price (Rupees),Buy Price (Poes),Dye Color,Needed for Quests,Needed for Armor Upgrades,Scales To,Scale Up On Weapon When Points Total Is,Spawn Time,Despawn Time,Flame Guard Level,Flammable,Burns Out,Freezable,Conducts Electricity,Is Character,Forest Dweller Cooldown (After Equip),Forest Dweller Cooldown (After Attack),Zonai Dispenser Capsule Count (1),Zonai Dispenser Capsule Count (2),Zonai Dispenser Capsule Count (3),Zonai Dispenser Capsule Count (4),Zonai Dispenser Capsule Count (5),Name (Japanese),Caption (Japanese),IsUsable,Cooking Tag 1,Cooking Tag 2,Cooking Tag 3,Cooking Tag (Custom),Cooking Tag (Custom) 2,Internal Fuse SubTypes,ActorName,MaterialCategory,MaterialCategory Order,PouchSortKey,Compendium #,Inventory Order (By type)
Fire Fruit,#REF!,"A fruit that generates heat when struck.
Cooked correctly, its heating properties
improve blood flow and stimulate muscles to
raise attack power in high temperatures.",-,-,Fire Fruit,Fire,TRUE,TRUE,1,1,1,1,1,0,-,-,Fire Burst,Reusable On Forest Dweller Weapons,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.25,Hot Weather Attack,1,-,-,3,12,-,Red,0,9,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:01.333,00:02,0,0,0,0,0,火炎の実,"破裂すると熱を発する実 熱で筋肉を活性化する
成分を含むため 料理にして食す事で
高温時に強力な攻撃を繰り出せるようになる",TRUE,CookFruit,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ChemicalExplosionFire]",FireFruit,Fruit,01,1500,213,011
Ice Fruit,#REF!,"A fruit that generates cold when struck.
Cooked correctly, it gives off an effect that
strengthens muscles and increases attack
power in cold temperatures.",-,-,Ice Fruit,Ice,TRUE,TRUE,1,1,1,1,1,0,-,-,Ice Burst,Reusable On Forest Dweller Weapons,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.25,Cold Weather Attack,1,-,-,3,12,-,White,0,9,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:01.333,00:02,0,0,0,0,0,冷気の実,"破裂すると冷気を発する実 冷やすと普段使わない
筋繊維を強化する作用があり 料理して食べれば
寒冷時に強力な攻撃を繰り出せるようになる",TRUE,CookFruit,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ChemicalExplosionIce]",IceFruit,Fruit,01,1477,214,012
Shock Fruit,#REF!,"When cooked correctly, this shockingly tasty
fruit stimulates the consumer's muscles and
grants increased attack power during
thunderstorms.",-,-,Shock Fruit,Electric,TRUE,TRUE,1,1,1,1,1,0,-,-,Electric Burst,Reusable On Forest Dweller Weapons,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.25,Stormy Weather Attack,1,-,-,3,12,-,Yellow,0,9,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:01.333,00:02,0,0,0,0,0,電気の実,"破裂すると電気を発する実 雷鳴に反応して
筋力を刺激する成分を含むため 料理にして食すと
雷雨下で強力な攻撃を繰り出せるようになる",TRUE,CookFruit,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ChemicalExplosionElectric]",ElectricalFruit,Fruit,01,1454,216,013
Splash Fruit,#REF!,"A fruit that contains pressurized water.
Cooking it brings out its ability to enhance
swim speed when ingested.",-,-,Splash Fruit,Water,TRUE,TRUE,1,1,1,1,1,0,-,-,Water Burst,Water Attack,Reusable On Forest Dweller Weapons,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.25,Swim Speed Up,1,-,-,2,10,-,Light Blue,0,0,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:01.333,00:02,0,0,0,0,0,水の実,"中に高圧の水を溜め込んだ木の実
手足の動きを滑らかにする成分によって
料理して食べると 速く泳げるようになる",TRUE,CookFruit,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ChemicalExplosionWater,WaterDamageUpElement]",WaterFruit,Fruit,01,1432,215,014
Dazzlefruit,#REF!,"A fruit charged with powerful light. Break it to
unleash dazzling sparkles that blind any
monsters nearby.",-,-,Dazzlefruit,-,TRUE,TRUE,1,1,1,1,1,-,-,-,Dazzle Burst,Reusable On Forest Dweller Weapons,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,0.25,-,1,-,-,5,20,-,Yellow,0,60,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:03.333,00:06.666,0,0,0,0,0,カガヤキの実,"強い光をため込んだ木の実
破裂すると周囲にまばゆい閃光を放ち
光を受けた魔物の目をくらます事ができる",TRUE,CookFruit,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ChemicalExplosionLight]",LightFruit,Fruit,01,1419,217,015
Bomb Flower,#REF!,"A dangerous flower that contains explosive
elements. Does not mix well with fire or
electricity, unless the goal is to blow
things up.",-,-,Bomb Flower,Bomb,TRUE,TRUE,1,1,1,1,1,40,-,-,Bomb,Shield Surfing Spring,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,-,-,-,-,-,10,40,16,Blue,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,バクダン花,"火薬によく似た成分を含んだ花
衝撃を与えたり 火をつけたりすると
周囲を巻き込んで爆発する",FALSE,CookForeign,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ShieldSurfingNoStaggerWithDeath,ShieldSurfingSpring,ChemicalExplosionBomb]",BombFruit,Fruit,01,1420,252,016
Puffshroom,#REF!,"A mushroom that spreads a cloud of fine
spores when a stimulus is applied. The bitter
powder makes them inedible.",-,-,Puffshroom,-,TRUE,TRUE,1,1,1,1,1,-,-,-,Reusable On Forest Dweller Weapons,-,-,-,TRUE,FALSE,FALSE,TRUE,TRUE,1,-,-,-,-,-,10,40,16,Brown,0,9,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:04,00:10,0,0,0,0,0,ケムリダケ,"非常に細かい胞子を蓄えたキノコ
刺激を受けると 一面に胞子の粉塵を撒き散らす
味はとても苦く 食べられたものではない",FALSE,CookForeign,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,TorchNoBurning]",SmokeFruit,Fruit,01,1418,232,017
Muddle Bud,#REF!,"A wildflower with a powerful odor that can
disorient and confuse, making it difficult to
tell friend from foe.",-,-,Muddle Bud,-,TRUE,TRUE,1,1,1,1,1,-,-,-,Confusion,Reusable On Forest Dweller Weapons,-,-,FALSE,FALSE,FALSE,TRUE,FALSE,1,-,-,-,-,-,10,40,16,Purple,0,0,-,-,-,-,2,TRUE,TRUE,FALSE,FALSE,FALSE,00:04,00:10,0,0,0,0,0,コンラン花,"強烈な臭いを放つ野生の花
この臭いをかぐと 前後不覚になり 一時的に
味方と敵の区別がつかなくなるという",FALSE,CookForeign,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,ShieldBash,ReuseSeed,ShieldSurfingNoStaggerWithDeath,ConfuseEffect]",ConfusionFruit,Fruit,01,1417,251,018
Big Hearty Truffle,#REF!,"Years of going unpicked have allowed this
hearty truffle to grow quite large. When
cooked into a dish, it'll restore all hearts and
temporarily increase your maximum hearts.",-,-,Big Hearty Truffle,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,3,Extra Hearts,16,-,-,25,100,-,Black,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,大マックストリュフ,"誰にも発見されず 大きく育ったマックストリュフ
蓄えられた栄養も豊富で 料理に使うと
ハートが全回復し さらに最大値を大きく増やす",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_N,Mushroom,02,,223,019
Hearty Truffle,#REF!,"This rare mushroom has a rich scent.
It'll restore all your hearts and temporarily
increase your maximum hearts when used in
cooking.",-,-,Hearty Truffle,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,2,Extra Hearts,4,-,-,20,80,-,Black,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,マックストリュフ,"かなり貴重なキノコの一種
土の中で育ち 強い香りがある 料理に使うと
ハート全回復と 最大値を増やす効果をもつ",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_F,Mushroom,02,,222,020
Endura Shroom,#REF!,"A rare yellowish-orange mushroom. Cook it
before eating to temporarily increase your
stamina limit.",-,-,Endura Shroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,1,Extra Stamina,1,-,-,15,60,-,Orange,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ガッツダケ,"めったに取れない黄色いキノコ
料理するとがんばりゲージの最大値が増える
というとても貴重な効果を発揮する",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_O,Mushroom,02,,220,021
Rushroom,#REF!,"A mushroom that can grow almost anywhere
but prefers ceilings and sheer cliffs. Cook it
before eating to temporarily increase your
movement speed.",-,-,Rushroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Speed Up,1,-,-,3,12,-,Purple,0,39,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ゴーゴーダケ,"天井や切り立った崖にむりやり生えるキノコ
どこにでも生える生命力がすごい
料理に使うと移動力が向上する効果がある",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_MushroomGet_D,Mushroom,02,,227,022
Brightcap,#REF!,"A mushroom that grows in caves and contains
luminescent enzymes. Cook it into a dish to
give a glowing effect to anyone who eats it.",-,-,Brightcap,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Glow,1,-,-,4,16,-,Light Yellow,10,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,アカリダケ,"洞窟に生える 光る酵素を含有したキノコ
料理に使うと その発光成分で 食した者の
身体が ぼんやり光る効能を得られる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_MushroomGet_K,Mushroom,02,,231,023
Stamella Shroom,#REF!,"A nutritious mushroom chock-full of natural
energy. Cook it to release its stamina-
restoration properties.",-,-,Stamella Shroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Stamina Recovery,1,-,-,5,20,-,Green,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ガンバリダケ,"大地のエネルギーをたくさんため込んだ
栄養満点のキノコ
料理に使うと がんばりが回復する効果を得られる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_A,Mushroom,02,,221,024
Chillshroom,#REF!,"Often found at the base of pine trees in cold
climates, these mushrooms are cool to the
touch and can be used to cook dishes that
allow you to stay cool even in arid regions.",-,-,Chillshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Heat Resistance,2,-,-,4,16,-,Blue,10,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヒンヤリダケ,"雪山の針葉樹の根元によく生える
触るとヒンヤリしていて 料理に使うと
砂漠の暑さにも耐える事ができるようになる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_B,Mushroom,02,,224,025
Sunshroom,#REF!,"A bright-red mushroom that grows in hot
climates. Imbued with the power of heat, 
it can be used to cook dishes that will
allow you to endure the bitter cold.",-,-,Sunshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Cold Resistance,2,-,-,4,16,-,Red,0,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ポカポカダケ,"主に気温の高い地域に生える真っ赤なキノコ
見た目通り炎の力を宿しており 料理に使うと
寒い雪山でも耐えられる効果が発揮される",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_C,Mushroom,02,,225,026
Hylian Shroom,#REF!,"A common mushroom found near trees
around Hyrule. Eat it to restore half a heart.",-,-,Hylian Shroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,-,-,-,-,3,12,-,Red,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ハイラルダケ,"ハイラルの森を代表するキノコ
木のそばに生える事が多く
食べるとハート回復の効果がある",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_E,Mushroom,02,,218,027
Zapshroom,#REF!,"This mushroom grows wild in the Gerudo
region. The cap is naturally insulated, so
when used in cooking, it will offer protection
against electricity.",-,-,Zapshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Shock Resistance,2,-,-,4,16,-,Yellow,0,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ビリビリダケ,"ゲルド地方でよく見かけられるキノコ
傘の部分に 絶縁成分が豊富に含まれている
料理に使うと 電撃に耐性を得られる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_H,Mushroom,02,,226,028
Silent Shroom,#REF!,"A strange mushroom that glows softly in
the forest at night. Cooking it into a dish
unlocks the nutrients in its cap, resulting in
a meal that will allow you to move stealthily.",-,-,Silent Shroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Stealth Up,2,-,-,3,12,-,Light Blue,0,24,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,シノビダケ,"夜になると静かに光る 不思議なキノコ
料理に使うと 傘に含まれる成分で集中力が
高まり 物音を立てずに行動できるようになる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_J,Mushroom,02,,230,029
Razorshroom,#REF!,"This mushroom is known for the natural slice
in its cap. Eating it fosters your competitive
spirit. Use it when cooking to prepare a dish
that will increase your strength.",-,-,Razorshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Attack Up,2,-,-,5,20,-,Crimson,0,15,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ツルギダケ,"剣で斬りつけたようなヒビが特徴のキノコ
料理に使うと 傘の裏のひだに含まれる成分により
闘争心が向上し 攻撃力が増すと言われる",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_L,Mushroom,02,,228,030
Ironshroom,#REF!,"The cap of this mushroom is very hard.
Use it when cooking to prepare a dish
that increases your defense.",-,-,Ironshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.5,Defense Up,2,-,-,5,20,-,Brown,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ヨロイダケ,"傘がとても硬く発達したキノコ
その傘に含まれる成分は 調理して食べると 
体幹を強化する効能があり 防御力が増す",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_M,Mushroom,02,,229,031
Skyshroom,#REF!,"A common mushroom that grows near trees
on sky islands. Eat it to restore health.",-,-,Skyshroom,-,TRUE,FALSE,1,1,1,1,-,-,-,-,Bouncy,Perfect Parry Always Disarms,-,-,TRUE,FALSE,FALSE,FALSE,TRUE,5,0.25,-,-,-,-,3,12,-,Light Blue,0,0,-,-,-,-,0,TRUE,TRUE,FALSE,FALSE,FALSE,-,-,0,0,0,0,0,ソラダケ,"空島の木の根元に生える ポピュラーなキノコ
食べるとハート回復の効果がある",TRUE,CookMushroom,-,-,-,-,"[Blunt,ShieldSurfingslipperinessDown,TorchNoBurning,PowHammer,GuardJustEnhance]",Item_Mushroom_P,Mushroom,02,,219,032
