ActorName,Name,Type,Flag To Unlock,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height,X,Y,Height
Dungeon010,Serutabomac Shrine,Shrine,IsVisitLocation.Dungeon010,-179,1170,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon011,Mogawak Shrine,Shrine,IsVisitLocation.Dungeon011,3300,424,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon012,Zanmik Shrine,Shrine,IsVisitLocation.Dungeon012,3470,-2181,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon013,Jiukoum Shrine,Shrine,IsVisitLocation.Dungeon013,868,-2278,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon014,Iun-orok Shrine,Shrine,IsVisitLocation.Dungeon014,-3539,851,-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon015,Rakashog Shrine,Shrine,IsVisitLocation.Dungeon015,-1715,-2119,1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon016,Soryotanog Shrine,Shrine,IsVisitLocation.Dungeon016,-3882,-2963,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon017,Mayak Shrine,Shrine,IsVisitLocation.Dungeon017,1270,3733,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon018,Gemimik Shrine,Shrine,IsVisitLocation.Dungeon018,4513,2116,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon019,Orochium Shrine,Shrine,IsVisitLocation.Dungeon019,-1637,2642,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon020,Sinakawak Shrine,Shrine,IsVisitLocation.Dungeon020,-1415,757,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon021,Tauyosipun Shrine,Shrine,IsVisitLocation.Dungeon021,-4539,2880,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon022,Tukarok Shrine,Shrine,IsVisitLocation.Dungeon022,915,-251,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon023,Sikukuu Shrine,Shrine,IsVisitLocation.Dungeon023,699,2793,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon024,Siwakama Shrine,Shrine,IsVisitLocation.Dungeon024,-2446,-3344,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon025,Turakawak Shrine,Shrine,IsVisitLocation.Dungeon025,-3498,-197,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon026,Riogok Shrine,Shrine,IsVisitLocation.Dungeon026,-1441,-1616,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon027,Anedamimik Shrine,Shrine,IsVisitLocation.Dungeon027,4232,-2178,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon028,Mayausiy Shrine,Shrine,IsVisitLocation.Dungeon028,-1167,2602,-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon029,Ishodag Shrine,Shrine,IsVisitLocation.Dungeon029,-879,423,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon030,Kiuyoyou Shrine,Shrine,IsVisitLocation.Dungeon030,-1107,2088,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon031,Ekochiu Shrine,Shrine,IsVisitLocation.Dungeon031,1063,1280,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon032,Tadarok Shrine,Shrine,IsVisitLocation.Dungeon032,-1082,-2187,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon033,Karahatag Shrine,Shrine,IsVisitLocation.Dungeon033,-3728,-3625,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon034,Tenbez Shrine,Shrine,IsVisitLocation.Dungeon034,-970,3535,1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon035,Kisinona Shrine,Shrine,IsVisitLocation.Dungeon035,2568,1246,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon036,Oshozan-u Shrine,Shrine,IsVisitLocation.Dungeon036,-1404,3678,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon037,Gasas Shrine,Shrine,IsVisitLocation.Dungeon037,-4153,98,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon038,Ijo-o Shrine,Shrine,IsVisitLocation.Dungeon038,-3861,2682,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon039,Turakamik Shrine,Shrine,IsVisitLocation.Dungeon039,-2657,-2237,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon040,Gatakis Shrine,Shrine,IsVisitLocation.Dungeon040,-3652,1806,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon041,Ihen-a Shrine,Shrine,IsVisitLocation.Dungeon041,3786,578,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon042,Tsutsu-um Shrine,Shrine,IsVisitLocation.Dungeon042,-1423,-1351,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon043,Mayaumekis Shrine,Shrine,IsVisitLocation.Dungeon043,-2948,3051,911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon044,Kamatukis Shrine,Shrine,IsVisitLocation.Dungeon044,3431,3357,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon045,Jirutagumac Shrine,Shrine,IsVisitLocation.Dungeon045,2916,534,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon046,Sepapa Shrine,Shrine,IsVisitLocation.Dungeon046,222,1085,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon047,Mayatat Shrine,Shrine,IsVisitLocation.Dungeon047,-3291,-2512,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon048,Susuyai Shrine,Shrine,IsVisitLocation.Dungeon048,-785,-434,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon049,Apogek Shrine,Shrine,IsVisitLocation.Dungeon049,3887,-217,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon050,Kadaunar Shrine,Shrine,IsVisitLocation.Dungeon050,1882,1203,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon051,Domizuin Shrine,Shrine,IsVisitLocation.Dungeon051,3305,1443,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon052,Mogisari Shrine,Shrine,IsVisitLocation.Dungeon052,4655,3500,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon053,Kikakin Shrine,Shrine,IsVisitLocation.Dungeon053,-396,2736,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon054,Sibajitak Shrine,Shrine,IsVisitLocation.Dungeon054,2400,3275,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon055,Siyamotsus Shrine,Shrine,IsVisitLocation.Dungeon055,-1795,-3295,1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon056,Utsushok Shrine,Shrine,IsVisitLocation.Dungeon056,670,-3358,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon057,Jikais Shrine,Shrine,IsVisitLocation.Dungeon057,4267,-1673,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon058,Kitawak Shrine,Shrine,IsVisitLocation.Dungeon058,-1530,-2929,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon059,Sonapan Shrine,Shrine,IsVisitLocation.Dungeon059,-1922,-359,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon060,Ukouh Shrine,Shrine,IsVisitLocation.Dungeon060,275,-913,1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon061,Gutanbac Shrine,Shrine,IsVisitLocation.Dungeon061,709,-1383,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon062,In-isa Shrine,Shrine,IsVisitLocation.Dungeon062,26,-1504,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon063,Nachoyah Shrine,Shrine,IsVisitLocation.Dungeon063,390,-1661,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon064,Marakuguc Shrine,Shrine,IsVisitLocation.Dungeon064,1762,2510,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon065,Runakit Shrine,Shrine,IsVisitLocation.Dungeon065,-2530,1170,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon066,Mayanas Shrine,Shrine,IsVisitLocation.Dungeon066,4613,-947,1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon067,Wao-os Shrine,Shrine,IsVisitLocation.Dungeon067,-4058,1990,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon068,Kyokugon Shrine,Shrine,IsVisitLocation.Dungeon068,-709,-1551,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon069,Igoshon Shrine,Shrine,IsVisitLocation.Dungeon069,3481,666,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon070,Nouda Shrine,Shrine,IsVisitLocation.Dungeon070,-2318,2201,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon071,Joku-usin Shrine,Shrine,IsVisitLocation.Dungeon071,1075,-3348,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon072,Eutoum Shrine,Shrine,IsVisitLocation.Dungeon072,-3507,3570,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon073,Isisim Shrine,Shrine,IsVisitLocation.Dungeon073,1842,2842,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon074,Mayachideg Shrine,Shrine,IsVisitLocation.Dungeon074,3061,1824,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon075,Otutsum Shrine,Shrine,IsVisitLocation.Dungeon075,-4469,-671,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon076,Utojis Shrine,Shrine,IsVisitLocation.Dungeon076,1218,-2543,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon077,Kamizun Shrine,Shrine,IsVisitLocation.Dungeon077,-178,-1558,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon078,Suariwak Shrine,Shrine,IsVisitLocation.Dungeon078,-2524,-1770,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon079,Rakakudaj Shrine,Shrine,IsVisitLocation.Dungeon079,-2037,-1853,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon080,Rasitakiwak Shrine,Shrine,IsVisitLocation.Dungeon080,4167,1323,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon081,Zakusu Shrine,Shrine,IsVisitLocation.Dungeon081,3526,-1482,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon082,Simosiwak Shrine,Shrine,IsVisitLocation.Dungeon082,162,1972,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon083,Yansamin Shrine,Shrine,IsVisitLocation.Dungeon083,2351,-1783,1490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon084,Jojon Shrine,Shrine,IsVisitLocation.Dungeon084,1202,330,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon085,Sifumim Shrine,Shrine,IsVisitLocation.Dungeon085,2826,-3270,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon086,Otak Shrine,Shrine,IsVisitLocation.Dungeon086,-4391,3714,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon087,Miryotanog Shrine,Shrine,IsVisitLocation.Dungeon087,-4680,-3086,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon088,Kimayat Shrine,Shrine,IsVisitLocation.Dungeon088,2864,3638,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon089,Momosik Shrine,Shrine,IsVisitLocation.Dungeon089,2960,2758,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon090,Igashuk Shrine,Shrine,IsVisitLocation.Dungeon090,4655,3714,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon091,Taki-ihaban Shrine,Shrine,IsVisitLocation.Dungeon091,-1830,1195,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon092,En-oma Shrine,Shrine,IsVisitLocation.Dungeon092,103,-2518,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon093,Kumamayn Shrine,Shrine,IsVisitLocation.Dungeon093,2857,-2856,1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon094,Yomizuk Shrine,Shrine,IsVisitLocation.Dungeon094,4413,-613,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon095,Mayahisik Shrine,Shrine,IsVisitLocation.Dungeon095,3729,-2059,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon096,Motsusis Shrine,Shrine,IsVisitLocation.Dungeon096,-1795,-3487,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon097,Maoikes Shrine,Shrine,IsVisitLocation.Dungeon097,2276,147,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon098,Moshapin Shrine,Shrine,IsVisitLocation.Dungeon098,2679,1904,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon099,Gikaku Shrine,Shrine,IsVisitLocation.Dungeon099,4506,2166,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon100,Usazum Shrine,Shrine,IsVisitLocation.Dungeon100,-2139,-874,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon101,Joniu Shrine,Shrine,IsVisitLocation.Dungeon101,2918,507,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon102,Jiotak Shrine,Shrine,IsVisitLocation.Dungeon102,1834,3180,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon103,Ikatak Shrine,Shrine,IsVisitLocation.Dungeon103,-3951,1139,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon104,Chichim Shrine,Shrine,IsVisitLocation.Dungeon104,-3211,-3007,-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon105,Kahatanaum Shrine,Shrine,IsVisitLocation.Dungeon105,-3296,3432,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon106,Ninjis Shrine,Shrine,IsVisitLocation.Dungeon106,355,1892,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon107,Tokiy Shrine,Shrine,IsVisitLocation.Dungeon107,2304,-2378,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon108,Sakunbomar Shrine,Shrine,IsVisitLocation.Dungeon108,167,2320,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon109,Joku-u Shrine,Shrine,IsVisitLocation.Dungeon109,1376,-3340,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon110,Natak Shrine,Shrine,IsVisitLocation.Dungeon110,3671,1484,1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon111,Rutafu-um Shrine,Shrine,IsVisitLocation.Dungeon111,-2998,3102,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon112,O-ogim Shrine,Shrine,IsVisitLocation.Dungeon112,2756,-1089,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon113,Jogou Shrine,Shrine,IsVisitLocation.Dungeon113,3346,-1187,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon114,Marari-in Shrine,Shrine,IsVisitLocation.Dungeon114,4631,-3712,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon115,Pupunke Shrine,Shrine,IsVisitLocation.Dungeon115,621,2211,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon116,Bamitok Shrine,Shrine,IsVisitLocation.Dungeon116,3094,-3210,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon117,Ganos Shrine,Shrine,IsVisitLocation.Dungeon117,-3370,467,1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon118,Irasak Shrine,Shrine,IsVisitLocation.Dungeon118,-4159,-3825,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon119,Kurakat Shrine,Shrine,IsVisitLocation.Dungeon119,2361,-511,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon120,Susub Shrine,Shrine,IsVisitLocation.Dungeon120,349,-2052,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon121,Taunhiy Shrine,Shrine,IsVisitLocation.Dungeon121,-2402,825,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon122,Eshos Shrine,Shrine,IsVisitLocation.Dungeon122,1566,-1945,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon123,Yamiyo Shrine,Shrine,IsVisitLocation.Dungeon123,333,470,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon124,Teniten Shrine,Shrine,IsVisitLocation.Dungeon124,-75,-1116,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon125,Mayaotaki Shrine,Shrine,IsVisitLocation.Dungeon125,-825,3535,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon126,Makurukis Shrine,Shrine,IsVisitLocation.Dungeon126,-2847,630,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon127,Josiu Shrine,Shrine,IsVisitLocation.Dungeon127,1758,-1208,938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon128,Ga-ahisas Shrine,Shrine,IsVisitLocation.Dungeon128,-3596,961,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon129,Sinatanika Shrine,Shrine,IsVisitLocation.Dungeon129,3842,2300,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon130,Jochisiu Shrine,Shrine,IsVisitLocation.Dungeon130,931,-1903,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon131,Ishokin Shrine,Shrine,IsVisitLocation.Dungeon131,-565,-3524,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon132,Sisuran Shrine,Shrine,IsVisitLocation.Dungeon132,-2559,3354,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon133,Tenmaten Shrine,Shrine,IsVisitLocation.Dungeon133,-595,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon134,Jochi-ihiga Shrine,Shrine,IsVisitLocation.Dungeon134,3811,1219,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon135,Makasura Shrine,Shrine,IsVisitLocation.Dungeon135,1770,-1052,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon136,Kyononis Shrine,Shrine,IsVisitLocation.Dungeon136,-205,451,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon137,Timawak Shrine,Shrine,IsVisitLocation.Dungeon137,1800,1640,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon138,Jonsau Shrine,Shrine,IsVisitLocation.Dungeon138,1744,18,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon139,Rasiwak Shrine,Shrine,IsVisitLocation.Dungeon139,4664,3263,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon140,Kudanisar Shrine,Shrine,IsVisitLocation.Dungeon140,-4167,-2143,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon141,Joju-u-u Shrine,Shrine,IsVisitLocation.Dungeon141,1515,-3577,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon142,Jiosin Shrine,Shrine,IsVisitLocation.Dungeon142,-241,-371,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon143,Gatanisis Shrine,Shrine,IsVisitLocation.Dungeon143,4498,826,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon144,Morok Shrine,Shrine,IsVisitLocation.Dungeon144,1182,-779,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon145,Jinodok Shrine,Shrine,IsVisitLocation.Dungeon145,-1257,-1487,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon146,Sihajog Shrine,Shrine,IsVisitLocation.Dungeon146,4546,-846,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon147,Minetak Shrine,Shrine,IsVisitLocation.Dungeon147,394,3485,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon148,Mayasiar Shrine,Shrine,IsVisitLocation.Dungeon148,-3547,-321,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon149,Mayam Shrine,Shrine,IsVisitLocation.Dungeon149,340,2815,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon150,Ukoojisi Shrine,Shrine,IsVisitLocation.Dungeon150,1469,-2169,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungeon151,Taninoud Shrine,Shrine,IsVisitLocation.Dungeon151,-1802,3407,963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckPoint000,Stakijat Lightroot,Lightroot,IsVisitLocation.CheckPoint000,343,-1008,-489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckPoint001,Ui-ihcoj Lightroot,Lightroot,IsVisitLocation.CheckPoint001,4347,2877,-629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckPoint002,Mustis Lightroot,Lightroot,IsVisitLocation.CheckPoint002,2368,2597,-969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CheckPoint003,Kawumoro Lightroot,Lightroot,IsVisitLocation.CheckPoint003,-3078,1617,-708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
