Type	Material	Total Need for all upgrades	Consumed (for upgrades)	Need
Plant	Voltfruit	15	15	0
Plant	Warm Safflina	9	9	0
Plant	Zapshroom	15	10	6
Gem	Amber	665	305	361
Gem	Diamond	27	5	23
Gem	Flint	367	227	141
Gem	Large Zonai Charge	129	33	97
Gem	Large Zonaite	190	30	161
Gem	Luminous Stone	450	145	306
Gem	Opal	342	92	251
Gem	Ruby	121	80	42
Gem	Sapphire	121	33	89
Gem	Topaz	121	44	78
Gem	Zonaite	150	130	21
Dragon	Dinraal's Claw	1	1	0
Dragon	Dinraal's Horn	3	0	4
Dragon	Dinraal's Scale	1	1	0
Dragon	Farosh's Claw	7	5	3
Dragon	Farosh's Horn	9	0	10
Dragon	Farosh's Scale	7	5	3
Dragon	Light Dragon's Horn	3	0	4
Dragon	Light Dragon's Scale	3	1	3
Dragon	Light Dragon's Talon	3	0	4
Dragon	Naydra's Claw	1	1	0
Dragon	Naydra's Horn	3	0	4
Dragon	Naydra's Scale	3	1	3
Dragon	Shard of Dinraal's Fang	1	1	0
Dragon	Shard of Farosh's Fang	7	1	7
Dragon	Shard of Farosh's Spike	45	0	46
Dragon	Shard of Light Dragon's Fang	3	0	4
Dragon	Shard of Naydra's Fang	1	1	0
Other	Star Fragment	103	46	58
